,Club,ClubLeagueLevel,ClubLeagueNationality,Player,PlayerAge,PlayerPosition,PlayerPositionScut,PlayerNationality,Operation,Bought/Sold,PlayerMarketValue,ClubAssigned,ClubAssignedLeagueLevel,ClubAssignedLeagueNationality,TransferValue
1,Legia Warszawa,1.liga,Polska,Ernest Muci,19,Środkowy napastnik,ŚNP,Albania,500 tys. €,Nabytki,"1,00 mln €",KF Tirana,1.liga,Albania,500 tys. €
2,Legia Warszawa,1.liga,Polska,Josip Juranovic,24,Prawy obrońca,POB,Chorwacja,400 tys. €,Nabytki,"2,50 mln €",HNK Hajduk Split,1.liga,Chorwacja,400 tys. €
3,Legia Warszawa,1.liga,Polska,Jasur Yakhshiboev,23,Prawy napastnik,PNP,Uzbekistan,300 tys. €,Nabytki,700 tys. €,Pakhtakor Tashkent,1.liga,Uzbekistan,300 tys. €
4,Legia Warszawa,1.liga,Polska,Rafa Lopes,29,Środkowy napastnik,ŚNP,Portugalia,150 tys. €,Nabytki,500 tys. €,Cracovia,1.liga,Polska,150 tys. €
5,Legia Warszawa,1.liga,Polska,Bartosz Kapustka,23,Ofensywny pomocnik,OPM,Polska,bez odstępnego,Nabytki,"1,50 mln €",Leicester City,1.liga,Anglia,bez odstępnego
6,Legia Warszawa,1.liga,Polska,Artur Boruc,40,Bramkarz,BRK,Polska,bez odstępnego,Nabytki,50 tys. €,AFC Bournemouth,2.liga,Anglia,bez odstępnego
7,Legia Warszawa,1.liga,Polska,Filip Mladenovic,28,Lewy obrońca,LOB,Serbia,bez odstępnego,Nabytki,"2,50 mln €",Lechia Gdańsk,1.liga,Polska,bez odstępnego
8,Legia Warszawa,1.liga,Polska,Michal Karbownik,19,Prawy obrońca,POB,Polska,wypożyczenie,Nabytki,"5,00 mln €",Brighton & Hove Albion,1.liga,Anglia,wypożyczenie
9,Legia Warszawa,1.liga,Polska,Joel Valencia,25,Lewy napastnik,LNP,Ekwador,wypożyczenie,Nabytki,400 tys. €,FC Brentford,1.liga,Anglia,wypożyczenie
10,Legia Warszawa,1.liga,Polska,Bartlomiej Ciepiela,19,Ofensywny pomocnik,OPM,Polska,-,Nabytki,-,Legia Warszawa II,4.liga,Polska,-
11,Legia Warszawa,1.liga,Polska,Jakub Kisiel,17,Defensywny pomocnik,DPM,Polska,-,Nabytki,100 tys. €,Legia Warszawa II,4.liga,Polska,-
12,Legia Warszawa,1.liga,Polska,Kacper Tobiasz,17,Bramkarz,BRK,Polska,-,Nabytki,300 tys. €,Legia Warszawa II,4.liga,Polska,-
13,Legia Warszawa,1.liga,Polska,Kacper Skibicki,19,Prawy pomocnik,PPM,Polska,-,Nabytki,400 tys. €,Legia Warszawa II,4.liga,Polska,-
14,Legia Warszawa,1.liga,Polska,Nikodem Niski,18,Prawy obrońca,POB,Polska,-,Nabytki,-,Legia Warszawa II,4.liga,Polska,-
15,Legia Warszawa,1.liga,Polska,Artem Shabanov,28,Środkowy obrońca,ŚOB,Ukraina,wypożyczenie,Nabytki,"1,50 mln €",Dynamo Kijów,1.liga,Ukraina,wypożyczenie
16,Legia Warszawa,1.liga,Polska,Nazariy Rusyn,22,Środkowy napastnik,ŚNP,Ukraina,wypożyczenie,Nabytki,500 tys. €,Dynamo Kijów,1.liga,Ukraina,wypożyczenie
17,Legia Warszawa,1.liga,Polska,Cezary Miszta,18,Bramkarz,BRK,Polska,koniec wypżyczenia31 lip 2020,Nabytki,300 tys. €,Radomiak Radom,1.liga,Polska,koniec wypżyczenia31 lip 2020
18,Legia Warszawa,1.liga,Polska,Mateusz Holownia,22,Środkowy obrońca,ŚOB,Polska,koniec wypżyczenia31 lip 2020,Nabytki,400 tys. €,Wisła Kraków,1.liga,Polska,koniec wypżyczenia31 lip 2020
19,Legia Warszawa,1.liga,Polska,Dominik Nagy,25,Lewy napastnik,LNP,Węgry,koniec wypżyczenia30 cze 2020,Nabytki,600 tys. €,Panathinaikos Ateny,1.liga,Grecja,koniec wypżyczenia30 cze 2020
20,Legia Warszawa,1.liga,Polska,Mikolaj Kwietniewski,21,Ofensywny pomocnik,OPM,Polska,koniec wypżyczenia30 lip 2020,Nabytki,250 tys. €,Wisła Płock,1.liga,Polska,koniec wypżyczenia30 lip 2020
21,Legia Warszawa,1.liga,Polska,Mateusz Zyro,21,Środkowy obrońca,ŚOB,Polska,koniec wypżyczenia30 cze 2020,Nabytki,400 tys. €,Stal Mielec,1.liga,Polska,koniec wypżyczenia30 cze 2020
22,Legia Warszawa,1.liga,Polska,Michal Karbownik,19,Prawy obrońca,POB,Polska,"5,50 mln €",Odejścia,"5,00 mln €",Brighton & Hove Albion,1.liga,Anglia,"5,50 mln €"
23,Legia Warszawa,1.liga,Polska,Arvydas Novikovas,29,Lewy napastnik,LNP,Litwa,250 tys. €,Odejścia,700 tys. €,Büyüksehir Belediye Erzurumspor,2.liga,Turcja,250 tys. €
24,Legia Warszawa,1.liga,Polska,Mateusz Zyro,21,Środkowy obrońca,ŚOB,Polska,50 tys. €,Odejścia,400 tys. €,Stal Mielec,1.liga,Polska,50 tys. €
25,Legia Warszawa,1.liga,Polska,Pawel Stolarski,24,Prawy obrońca,POB,Polska,bez odstępnego,Odejścia,400 tys. €,Pogoń Szczecin,1.liga,Polska,bez odstępnego
26,Legia Warszawa,1.liga,Polska,Vamara Sanogo,25,Środkowy napastnik,ŚNP,Francja,bez odstępnego,Odejścia,200 tys. €,Dinamo Batumi,1.liga,Gruzja,bez odstępnego
27,Legia Warszawa,1.liga,Polska,Domagoj Antolic,30,Środkowy pomocnik,ŚPM,Chorwacja,bez odstępnego,Odejścia,950 tys. €,Damac FC,1.liga,Arabia Saudyjska,bez odstępnego
28,Legia Warszawa,1.liga,Polska,Ivan Obradovic,32,Lewy obrońca,LOB,Serbia,bez odstępnego,Odejścia,500 tys. €,FK Partizan Belgrad,1.liga,Serbia,bez odstępnego
29,Legia Warszawa,1.liga,Polska,Piotr Pyrdol,21,Prawy napastnik,PNP,Polska,bez odstępnego,Odejścia,250 tys. €,Wisła Płock,1.liga,Polska,bez odstępnego
30,Legia Warszawa,1.liga,Polska,Salvador Agra,28,Prawy napastnik,PNP,Portugalia,bez odstępnego,Odejścia,600 tys. €,CD Tondela,1.liga,Portugalia,bez odstępnego
31,Legia Warszawa,1.liga,Polska,Mateusz Praszelik,19,Ofensywny pomocnik,OPM,Polska,bez odstępnego,Odejścia,"1,20 mln €",Śląsk Wrocław,1.liga,Polska,bez odstępnego
32,Legia Warszawa,1.liga,Polska,José Kanté,30,Środkowy napastnik,ŚNP,Gwinea,bez odstępnego,Odejścia,"1,50 mln €",Kairat Almaty,1.liga,Kazachstan,bez odstępnego
33,Legia Warszawa,1.liga,Polska,Luís Rocha,27,Lewy obrońca,LOB,Portugalia,bez odstępnego,Odejścia,150 tys. €,Cracovia,1.liga,Polska,bez odstępnego
34,Legia Warszawa,1.liga,Polska,Mateusz Kochalski,20,Bramkarz,BRK,Polska,wypożyczenie,Odejścia,300 tys. €,Radomiak Radom,1.liga,Polska,wypożyczenie
35,Legia Warszawa,1.liga,Polska,Maciej Rosolek,19,Środkowy napastnik,ŚNP,Polska,wypożyczenie,Odejścia,800 tys. €,Arka Gdynia,2.liga,Polska,wypożyczenie
36,Legia Warszawa,1.liga,Polska,Dominik Nagy,25,Lewy napastnik,LNP,Węgry,-,Odejścia,600 tys. €,Bez klubuBez klubu,,,-
37,Legia Warszawa,1.liga,Polska,William Rémy,29,Środkowy obrońca,ŚOB,Francja,-,Odejścia,300 tys. €,Bez klubuBez klubu,,,-
38,Legia Warszawa,1.liga,Polska,Nikodem Niski,18,Prawy obrońca,POB,Polska,wypożyczenie,Odejścia,-,Chrobry Głogów,2.liga,Polska,wypożyczenie
39,Legia Warszawa,1.liga,Polska,Michal Karbownik,19,Prawy obrońca,POB,Polska,koniec wypżyczenia17 sty 2021,Odejścia,"5,00 mln €",Brighton & Hove Albion,1.liga,Anglia,koniec wypżyczenia17 sty 2021
40,Legia Warszawa,1.liga,Polska,Radoslaw Majecki,20,Bramkarz,BRK,Polska,koniec wypżyczenia30 cze 2020,Odejścia,"4,00 mln €",AS Monaco,1.liga,Francja,koniec wypżyczenia30 cze 2020
41,Lech Poznań,1.liga,Polska,Jesper Karlström,25,Defensywny pomocnik,DPM,Szwecja,800 tys. €,Nabytki,"1,50 mln €",Djurgardens IF,1.liga,Szwecja,800 tys. €
42,Lech Poznań,1.liga,Polska,Jan Sykora,26,Lewy napastnik,LNP,Czechy,700 tys. €,Nabytki,600 tys. €,SK Slavia Praga,1.liga,Czechy,700 tys. €
43,Lech Poznań,1.liga,Polska,Antonio Milic,26,Środkowy obrońca,ŚOB,Chorwacja,500 tys. €,Nabytki,800 tys. €,RSC Anderlecht,1.liga,Belgia,500 tys. €
44,Lech Poznań,1.liga,Polska,Aron Jóhannsson,30,Środkowy napastnik,ŚNP,Stany Zjednaczone,bez odstępnego,Nabytki,600 tys. €,Hammarby IF,1.liga,Szwecja,bez odstępnego
45,Lech Poznań,1.liga,Polska,Bartosz Salamon,29,Środkowy obrońca,ŚOB,Polska,bez odstępnego,Nabytki,800 tys. €,SPAL,2.liga,Włochy,bez odstępnego
46,Lech Poznań,1.liga,Polska,Nika Kvekveskiri,28,Defensywny pomocnik,DPM,Gruzja,bez odstępnego,Nabytki,600 tys. €,Tobył Kostanaj,1.liga,Kazachstan,bez odstępnego
47,Lech Poznań,1.liga,Polska,Alan Czerwinski,27,Prawy obrońca,POB,Polska,bez odstępnego,Nabytki,600 tys. €,Zagłębie Lubin,1.liga,Polska,bez odstępnego
48,Lech Poznań,1.liga,Polska,Filip Bednarek,27,Bramkarz,BRK,Polska,bez odstępnego,Nabytki,700 tys. €,SC Heerenveen,1.liga,Holandia,bez odstępnego
49,Lech Poznań,1.liga,Polska,Mikael Ishak,27,Środkowy napastnik,ŚNP,Szwecja,bez odstępnego,Nabytki,"2,50 mln €",1.FC Nürnberg,2.liga,Niemcy,bez odstępnego
50,Lech Poznań,1.liga,Polska,Jakub Moder,21,Środkowy pomocnik,ŚPM,Polska,wypożyczenie,Nabytki,"10,00 mln €",Brighton & Hove Albion,1.liga,Anglia,wypożyczenie
51,Lech Poznań,1.liga,Polska,Mohammad Awwad,23,Środkowy napastnik,ŚNP,Izrael,wypożyczenie,Nabytki,500 tys. €,Maccabi Haifa,1.liga,Izrael,wypożyczenie
52,Lech Poznań,1.liga,Polska,Vasyl Kravets,23,Lewy obrońca,LOB,Ukraina,wypożyczenie,Nabytki,800 tys. €,CD Leganés,2.liga,Hiszpania,wypożyczenie
53,Lech Poznań,1.liga,Polska,Marko Malenica,26,Bramkarz,BRK,Chorwacja,wypożyczenie,Nabytki,300 tys. €,NK Osijek,1.liga,Chorwacja,wypożyczenie
54,Lech Poznań,1.liga,Polska,Hubert Sobol,20,Środkowy napastnik,ŚNP,Polska,-,Nabytki,250 tys. €,Lech Poznań II,3.liga,Polska,-
55,Lech Poznań,1.liga,Polska,Filip Borowski,17,Prawy obrońca,POB,Polska,-,Nabytki,100 tys. €,Lech Poznań II,3.liga,Polska,-
56,Lech Poznań,1.liga,Polska,Krystian Palacz,17,Lewy obrońca,LOB,Polska,-,Nabytki,100 tys. €,Lech Poznań II,3.liga,Polska,-
57,Lech Poznań,1.liga,Polska,Norbert Paclawski,16,Środkowy napastnik,ŚNP,Polska,-,Nabytki,100 tys. €,Lech Poznań II,3.liga,Polska,-
58,Lech Poznań,1.liga,Polska,Antoni Kozubal,16,Środkowy pomocnik,ŚPM,Polska,-,Nabytki,100 tys. €,Lech Poznań II,3.liga,Polska,-
59,Lech Poznań,1.liga,Polska,Filip Wilak,17,Środkowy napastnik,ŚNP,Polska,-,Nabytki,100 tys. €,Lech Poznań II,3.liga,Polska,-
60,Lech Poznań,1.liga,Polska,Bogdan Butko,29,Prawy obrońca,POB,Ukraina,wypożyczenie,Nabytki,500 tys. €,Szachtar Donieck,1.liga,Ukraina,wypożyczenie
61,Lech Poznań,1.liga,Polska,Nika Kacharava,26,Środkowy napastnik,ŚNP,Gruzja,wypożyczenie,Nabytki,500 tys. €,Anorthosis Famagusta,1.liga,Cypr,wypożyczenie
62,Lech Poznań,1.liga,Polska,Pawel Tomczyk,22,Środkowy napastnik,ŚNP,Polska,koniec wypżyczenia31 gru 2020,Nabytki,200 tys. €,Stal Mielec,1.liga,Polska,koniec wypżyczenia31 gru 2020
63,Lech Poznań,1.liga,Polska,Mateusz Skrzypczak,20,Środkowy obrońca,ŚOB,Polska,koniec wypżyczenia31 gru 2020,Nabytki,200 tys. €,Puszcza Niepołomice,2.liga,Polska,koniec wypżyczenia31 gru 2020
64,Lech Poznań,1.liga,Polska,Tymoteusz Klups,20,Prawy napastnik,PNP,Polska,koniec wypżyczenia31 lip 2020,Nabytki,200 tys. €,Piast Gliwice,1.liga,Polska,koniec wypżyczenia31 lip 2020
65,Lech Poznań,1.liga,Polska,Wiktor Plesnierowicz,19,Środkowy obrońca,ŚOB,Polska,koniec wypżyczenia30 cze 2020,Nabytki,150 tys. €,Roma Primavera,ieżowa,Włochy,koniec wypżyczenia30 cze 2020
66,Lech Poznań,1.liga,Polska,Bartosz Mrozek,21,Bramkarz,BRK,Polska,koniec wypżyczenia30 cze 2021,Nabytki,100 tys. €,GKS Katowice,2.liga,Polska,koniec wypżyczenia30 cze 2021
67,Lech Poznań,1.liga,Polska,Jakub Moder,21,Środkowy pomocnik,ŚPM,Polska,"11,00 mln €",Odejścia,"10,00 mln €",Brighton & Hove Albion,1.liga,Anglia,"11,00 mln €"
68,Lech Poznań,1.liga,Polska,Kamil Jozwiak,22,Lewy napastnik,LNP,Polska,"4,30 mln €",Odejścia,"3,50 mln €",Derby County,2.liga,Anglia,"4,30 mln €"
69,Lech Poznań,1.liga,Polska,Robert Gumny,22,Prawy obrońca,POB,Polska,"2,00 mln €",Odejścia,"3,00 mln €",FC Augsburg,1.liga,Niemcy,"2,00 mln €"
70,Lech Poznań,1.liga,Polska,Pawel Tomczyk,22,Środkowy napastnik,ŚNP,Polska,50 tys. €,Odejścia,200 tys. €,Widzew Łódź,2.liga,Polska,50 tys. €
71,Lech Poznań,1.liga,Polska,Wiktor Plesnierowicz,19,Środkowy obrońca,ŚOB,Polska,50 tys. €,Odejścia,150 tys. €,Miedź Legnica,2.liga,Polska,50 tys. €
72,Lech Poznań,1.liga,Polska,Volodymyr Kostevych,27,Lewy obrońca,LOB,Ukraina,bez odstępnego,Odejścia,700 tys. €,Dynamo Kijów,1.liga,Ukraina,bez odstępnego
73,Lech Poznań,1.liga,Polska,Tomasz Cywka,32,Defensywny pomocnik,DPM,Polska,bez odstępnego,Odejścia,125 tys. €,Chrobry Głogów,2.liga,Polska,bez odstępnego
74,Lech Poznań,1.liga,Polska,Karol Szymanski,27,Bramkarz,BRK,Polska,bez odstępnego,Odejścia,50 tys. €,Piast Gliwice,1.liga,Polska,bez odstępnego
75,Lech Poznań,1.liga,Polska,Christian Gytkjaer,30,Środkowy napastnik,ŚNP,Dania,bez odstępnego,Odejścia,"2,50 mln €",AC Monza,2.liga,Włochy,bez odstępnego
76,Lech Poznań,1.liga,Polska,Mateusz Skrzypczak,20,Środkowy obrońca,ŚOB,Polska,wypożyczenie,Odejścia,200 tys. €,Stomil Olsztyn,2.liga,Polska,wypożyczenie
77,Lech Poznań,1.liga,Polska,Jakub Niewiadomski,18,Lewy obrońca,LOB,Polska,wypożyczenie,Odejścia,125 tys. €,GKS 1962 Jastrzębie,2.liga,Polska,wypożyczenie
78,Lech Poznań,1.liga,Polska,Milosz Mleczko,21,Bramkarz,BRK,Polska,wypożyczenie,Odejścia,300 tys. €,Widzew Łódź,2.liga,Polska,wypożyczenie
79,Lech Poznań,1.liga,Polska,Djordje Crnomarkovic,27,Środkowy obrońca,ŚOB,Serbia,wypożyczenie,Odejścia,500 tys. €,Zagłębie Lubin,1.liga,Polska,wypożyczenie
80,Lech Poznań,1.liga,Polska,Juliusz Letniowski,22,Defensywny pomocnik,DPM,Polska,wypożyczenie,Odejścia,400 tys. €,Arka Gdynia,2.liga,Polska,wypożyczenie
81,Lech Poznań,1.liga,Polska,Karlo Muhar,25,Defensywny pomocnik,DPM,Chorwacja,wypożyczenie,Odejścia,800 tys. €,Kayserispor,1.liga,Turcja,wypożyczenie
82,Lech Poznań,1.liga,Polska,Pawel Tomczyk,22,Środkowy napastnik,ŚNP,Polska,wypożyczenie,Odejścia,200 tys. €,Stal Mielec,1.liga,Polska,wypożyczenie
83,Lech Poznań,1.liga,Polska,Mateusz Skrzypczak,19,Środkowy obrońca,ŚOB,Polska,wypożyczenie,Odejścia,200 tys. €,Puszcza Niepołomice,2.liga,Polska,wypożyczenie
84,Lech Poznań,1.liga,Polska,Mohammad Awwad,23,Środkowy napastnik,ŚNP,Izrael,koniec wypżyczenia11 lut 2021,Odejścia,500 tys. €,Maccabi Haifa,1.liga,Izrael,koniec wypżyczenia11 lut 2021
85,Lech Poznań,1.liga,Polska,Jakub Moder,21,Środkowy pomocnik,ŚPM,Polska,koniec wypżyczenia31 gru 2020,Odejścia,"10,00 mln €",Brighton & Hove Albion,1.liga,Anglia,koniec wypżyczenia31 gru 2020
86,Lech Poznań,1.liga,Polska,Bogdan Butko,29,Prawy obrońca,POB,Ukraina,koniec wypżyczenia4 sty 2021,Odejścia,500 tys. €,Szachtar Donieck,1.liga,Ukraina,koniec wypżyczenia4 sty 2021
87,Lech Poznań,1.liga,Polska,Timur Zhamaletdinov,23,Środkowy napastnik,ŚNP,Rosja,koniec wypżyczenia31 lip 2020,Odejścia,700 tys. €,CSKA Moskwa,1.liga,Rosja,koniec wypżyczenia31 lip 2020
88,Lech Poznań,1.liga,Polska,Marko Malenica,26,Bramkarz,BRK,Chorwacja,koniec wypżyczenia31 gru 2020,Odejścia,300 tys. €,NK Osijek,1.liga,Chorwacja,koniec wypżyczenia31 gru 2020
89,Lech Poznań,1.liga,Polska,Bogdan Butko,29,Prawy obrońca,POB,Ukraina,koniec wypżyczenia31 lip 2020,Odejścia,500 tys. €,Szachtar Donieck,1.liga,Ukraina,koniec wypżyczenia31 lip 2020
90,Piast Gliwice,1.liga,Polska,Patryk Lipski,26,Ofensywny pomocnik,OPM,Polska,150 tys. €,Nabytki,400 tys. €,Lechia Gdańsk,1.liga,Polska,150 tys. €
91,Piast Gliwice,1.liga,Polska,Mateusz Winciersz,20,Lewy napastnik,LNP,Polska,50 tys. €,Nabytki,200 tys. €,Ruch Chorzów,3.liga,Polska,50 tys. €
92,Piast Gliwice,1.liga,Polska,Arkadiusz Pyrka,17,Prawy napastnik,PNP,Polska,bez odstępnego,Nabytki,750 tys. €,Znicz Pruszków,3.liga,Polska,bez odstępnego
93,Piast Gliwice,1.liga,Polska,Karol Szymanski,27,Bramkarz,BRK,Polska,bez odstępnego,Nabytki,50 tys. €,Lech Poznań,1.liga,Polska,bez odstępnego
94,Piast Gliwice,1.liga,Polska,Javier Hyjek,19,Środkowy pomocnik,ŚPM,Polska,bez odstępnego,Nabytki,100 tys. €,Atlético de Madryt Młodzież A (U19),,,bez odstępnego
95,Piast Gliwice,1.liga,Polska,Michal Zyro,27,Środkowy napastnik,ŚNP,Polska,bez odstępnego,Nabytki,300 tys. €,Korona Kielce,2.liga,Polska,bez odstępnego
96,Piast Gliwice,1.liga,Polska,Jakub Swierczok,27,Środkowy napastnik,ŚNP,Polska,wypożyczenie,Nabytki,"3,00 mln €",Ludogorets Razgrad,1.liga,Bułgaria,wypożyczenie
97,Piast Gliwice,1.liga,Polska,Maksym Gendera,20,Prawy obrońca,POB,Polska,-,Nabytki,50 tys. €,Piast Gliwice II,,,-
98,Piast Gliwice,1.liga,Polska,Wiktor Preuss,18,Prawy napastnik,PNP,Polska,-,Nabytki,-,Piast Gliwice II,,,-
99,Piast Gliwice,1.liga,Polska,Michal Zachcial,21,Pomocnik,Pomocnik,Polska,-,Nabytki,-,Piast Gliwice II,,,-
100,Piast Gliwice,1.liga,Polska,Michal Chrapek,28,Środkowy pomocnik,ŚPM,Polska,-,Nabytki,600 tys. €,Bez klubuBez klubu,,,-
101,Piast Gliwice,1.liga,Polska,Wojciech Kaminski,19,Środkowy pomocnik,ŚPM,Polska,koniec wypżyczenia31 gru 2020,Nabytki,100 tys. €,Sandecja Nowy Sącz,2.liga,Polska,koniec wypżyczenia31 gru 2020
102,Piast Gliwice,1.liga,Polska,Pawel Rabin,19,Bramkarz,BRK,Polska,koniec wypżyczenia31 gru 2020,Nabytki,-,Stal Kraśnik,,,koniec wypżyczenia31 gru 2020
103,Piast Gliwice,1.liga,Polska,Sebastian Pociecha,21,Prawy obrońca,POB,Polska,koniec wypżyczenia30 cze 2020,Nabytki,-,Polonia Warszawa,4.liga,Polska,koniec wypżyczenia30 cze 2020
104,Piast Gliwice,1.liga,Polska,Lukasz Krakowczyk,22,Środkowy napastnik,ŚNP,Polska,koniec wypżyczenia30 cze 2020,Nabytki,-,Polonia Bytom,4.liga,Polska,koniec wypżyczenia30 cze 2020
105,Piast Gliwice,1.liga,Polska,Michal Bodys,21,Bramkarz,BRK,Polska,koniec wypżyczenia30 cze 2020,Nabytki,-,Ruch Zdzieszowice,,,koniec wypżyczenia30 cze 2020
106,Piast Gliwice,1.liga,Polska,Bartosz Walencik,23,Środkowy obrońca,ŚOB,Polska,koniec wypżyczenia30 cze 2020,Nabytki,-,Legionovia Legionowo,4.liga,Polska,koniec wypżyczenia30 cze 2020
107,Piast Gliwice,1.liga,Polska,Wojciech Kaminski,19,Środkowy pomocnik,ŚPM,Polska,koniec wypżyczenia30 cze 2020,Nabytki,100 tys. €,Bruk-Bet Termalica Nieciecza,1.liga,Polska,koniec wypżyczenia30 cze 2020
108,Piast Gliwice,1.liga,Polska,Karol Dybowski,23,Bramkarz,BRK,Polska,koniec wypżyczenia31 lip 2020,Nabytki,100 tys. €,Bruk-Bet Termalica Nieciecza,1.liga,Polska,koniec wypżyczenia31 lip 2020
109,Piast Gliwice,1.liga,Polska,Piotr Parzyszek,27,Środkowy napastnik,ŚNP,Polska,500 tys. €,Odejścia,800 tys. €,Frosinone Calcio,2.liga,Włochy,500 tys. €
110,Piast Gliwice,1.liga,Polska,Jorge Félix,28,Środkowy napastnik,ŚNP,Hiszpania,bez odstępnego,Odejścia,800 tys. €,Sivasspor,1.liga,Turcja,bez odstępnego
111,Piast Gliwice,1.liga,Polska,Mikkel Kirkeskov,29,Lewy obrońca,LOB,Dania,bez odstępnego,Odejścia,600 tys. €,Holstein Kiel,2.liga,Niemcy,bez odstępnego
112,Piast Gliwice,1.liga,Polska,Uros Korun,33,Środkowy obrońca,ŚOB,Słowenia,bez odstępnego,Odejścia,50 tys. €,NK Olimpija Ljubljana,1.liga,Słowenia,bez odstępnego
113,Piast Gliwice,1.liga,Polska,Karol Dybowski,23,Bramkarz,BRK,Polska,bez odstępnego,Odejścia,100 tys. €,Resovia Rzeszów,2.liga,Polska,bez odstępnego
114,Piast Gliwice,1.liga,Polska,Tom Hateley,30,Defensywny pomocnik,DPM,Anglia,bez odstępnego,Odejścia,200 tys. €,AEK Larnaka,1.liga,Cypr,bez odstępnego
115,Piast Gliwice,1.liga,Polska,Bartosz Walencik,23,Środkowy obrońca,ŚOB,Polska,bez odstępnego,Odejścia,-,KKS 1925 Kalisz,3.liga,Polska,bez odstępnego
116,Piast Gliwice,1.liga,Polska,Aleksander Jagiello,25,Lewy napastnik,LNP,Polska,bez odstępnego,Odejścia,100 tys. €,Górnik Łęczna,1.liga,Polska,bez odstępnego
117,Piast Gliwice,1.liga,Polska,Lukasz Krakowczyk,22,Środkowy napastnik,ŚNP,Polska,wypożyczenie,Odejścia,-,ROW 1964 Rybnik,,,wypożyczenie
118,Piast Gliwice,1.liga,Polska,Sebastian Pociecha,21,Prawy obrońca,POB,Polska,wypożyczenie,Odejścia,-,Broń Radom,4.liga,Polska,wypożyczenie
119,Piast Gliwice,1.liga,Polska,Wojciech Kaminski,20,Środkowy pomocnik,ŚPM,Polska,wypożyczenie,Odejścia,100 tys. €,Wigry Suwałki,3.liga,Polska,wypożyczenie
120,Piast Gliwice,1.liga,Polska,Michal Bodys,21,Bramkarz,BRK,Polska,wypożyczenie,Odejścia,-,Foto-Higiena Gać,4.liga,Polska,wypożyczenie
121,Piast Gliwice,1.liga,Polska,Pawel Rabin,19,Bramkarz,BRK,Polska,wypożyczenie,Odejścia,-,Stal Kraśnik,,,wypożyczenie
122,Piast Gliwice,1.liga,Polska,Patryk Tuszynski,30,Środkowy napastnik,ŚNP,Polska,?,Odejścia,250 tys. €,Wisła Płock,1.liga,Polska,?
123,Piast Gliwice,1.liga,Polska,Wojciech Kaminski,19,Środkowy pomocnik,ŚPM,Polska,wypożyczenie,Odejścia,100 tys. €,Sandecja Nowy Sącz,2.liga,Polska,wypożyczenie
124,Piast Gliwice,1.liga,Polska,Wiktor Preuss,18,Prawy napastnik,PNP,Polska,wypożyczenie,Odejścia,-,Pogoń Siedlce,3.liga,Polska,wypożyczenie
125,Piast Gliwice,1.liga,Polska,Michal Rakowiecki,20,Środkowy pomocnik,ŚPM,Polska,wypożyczenie,Odejścia,-,Gwarek Tarnowskie Góry,4.liga,Polska,wypożyczenie
126,Piast Gliwice,1.liga,Polska,Patryk Krolczyk,26,Bramkarz,BRK,Polska,wypożyczenie,Odejścia,50 tys. €,GKS Katowice,2.liga,Polska,wypożyczenie
127,Piast Gliwice,1.liga,Polska,Pawel Rabin,20,Bramkarz,BRK,Polska,wypożyczenie,Odejścia,-,Ruch Wysokie Mazowieckie,,,wypożyczenie
128,Piast Gliwice,1.liga,Polska,Tymoteusz Klups,20,Prawy napastnik,PNP,Polska,koniec wypżyczenia31 lip 2020,Odejścia,200 tys. €,Lech Poznań,1.liga,Polska,koniec wypżyczenia31 lip 2020
129,Lechia Gdańsk,1.liga,Polska,Kristers Tobers,19,Środkowy obrońca,ŚOB,Łotwa,100 tys. €,Nabytki,600 tys. €,FK Lipawa,1.liga,Łotwa,100 tys. €
130,Lechia Gdańsk,1.liga,Polska,Jan Bieganski,18,Defensywny pomocnik,DPM,Polska,bez odstępnego,Nabytki,800 tys. €,GKS Tychy,2.liga,Polska,bez odstępnego
131,Lechia Gdańsk,1.liga,Polska,Joseph Ceesay,22,Lewy napastnik,LNP,Szwecja,bez odstępnego,Nabytki,700 tys. €,Helsingborgs IF,2.liga,Szwecja,bez odstępnego
132,Lechia Gdańsk,1.liga,Polska,Mykola Musolitin,21,Prawy pomocnik,PPM,Ukraina,bez odstępnego,Nabytki,250 tys. €,Valmiera FC,1.liga,Łotwa,bez odstępnego
133,Lechia Gdańsk,1.liga,Polska,Bartosz Kopacz,28,Środkowy obrońca,ŚOB,Polska,bez odstępnego,Nabytki,750 tys. €,Zagłębie Lubin,1.liga,Polska,bez odstępnego
134,Lechia Gdańsk,1.liga,Polska,Eryk Mirus,16,Bramkarz,BRK,Polska,-,Nabytki,-,Lechia Gdańsk U19,,,-
135,Lechia Gdańsk,1.liga,Polska,Antoni Mikulko,15,Bramkarz,BRK,Polska,-,Nabytki,50 tys. €,Lechia Gdańsk U19,,,-
136,Lechia Gdańsk,1.liga,Polska,Filip Koperski,16,Ofensywny pomocnik,OPM,Polska,-,Nabytki,50 tys. €,Lechia Gdańsk II,,,-
137,Lechia Gdańsk,1.liga,Polska,Mateusz Zukowski,18,Prawy obrońca,POB,Polska,-,Nabytki,"2,50 mln €",Lechia Gdańsk II,,,-
138,Lechia Gdańsk,1.liga,Polska,Adam Chrzanowski,21,Lewy obrońca,LOB,Polska,koniec wypżyczenia30 cze 2020,Nabytki,300 tys. €,Miedź Legnica,2.liga,Polska,koniec wypżyczenia30 cze 2020
