,Klub,KlubPoziom,KlubNarodowosc,Zawodnik,ZawodnikWiek,ZawodnikPozycja,ZawodnikPozycjaSkrot,ZawodnikNarodowosc,TypOperacji,Pozyskany/Sprzedany,ZawodnikWartoscRynkowa,KlubPowiazany,KlubPowiazanyPoziom,KlubPowiazanyNarodowosc,KwotaOdstepnego
3257,Besiktas JK,1.liga,Turcja,Atakan Üner,21,Prawy napastnik,PNP,Turcja,150 tys. €,Nabytki,650 tys. €,Altinordu FK,2.liga,Turcja,150 tys. €
3258,Besiktas JK,1.liga,Turcja,Gökhan Töre,28,Prawy napastnik,PNP,Turcja,bez odstępnego,Nabytki,"1,10 mln €",Yeni Malatyaspor,1.liga,Turcja,bez odstępnego
3259,Besiktas JK,1.liga,Turcja,Souza,31,Defensywny pomocnik,DPM,Brazylia,bez odstępnego,Nabytki,"6,50 mln €",Al-Ahli Dschidda,1.liga,Arabia Saudyjska,bez odstępnego
3260,Besiktas JK,1.liga,Turcja,Fabrice N'Sakala,30,Lewy obrońca,LOB,Demokratyczna Republika Kongo,bez odstępnego,Nabytki,"1,00 mln €",Alanyaspor,1.liga,Turcja,bez odstępnego
3261,Besiktas JK,1.liga,Turcja,Vincent Aboubakar,28,Środkowy napastnik,ŚNP,Kamerun,bez odstępnego,Nabytki,"10,00 mln €",FC Porto,1.liga,Portugalia,bez odstępnego
3262,Besiktas JK,1.liga,Turcja,Welinton,31,Środkowy obrońca,ŚOB,Brazylia,draft,Nabytki,"1,60 mln €",Alanyaspor,1.liga,Turcja,draft
3263,Besiktas JK,1.liga,Turcja,Abdullah Aydin,19,Lewy napastnik,LNP,Turcja,?,Nabytki,50 tys. €,US Concarneau B,,,?
3264,Besiktas JK,1.liga,Turcja,Cenk Tosun,29,Środkowy napastnik,ŚNP,Turcja,wypożyczenie,Nabytki,"3,00 mln €",FC Everton,1.liga,Anglia,wypożyczenie
3265,Besiktas JK,1.liga,Turcja,Rachid Ghezzal,28,Prawy napastnik,PNP,Algieria,wypożyczenie,Nabytki,"11,00 mln €",Leicester City,1.liga,Anglia,wypożyczenie
3266,Besiktas JK,1.liga,Turcja,Mertcan Acikgöz,20,Prawy napastnik,PNP,Turcja,-,Nabytki,50 tys. €,Besiktas JK U19,ieżowa,Turcja,-
3267,Besiktas JK,1.liga,Turcja,Serdar Saatci,17,Środkowy obrońca,ŚOB,Turcja,-,Nabytki,400 tys. €,Besiktas JK U19,ieżowa,Turcja,-
3268,Besiktas JK,1.liga,Turcja,Emre Bilgin,16,Bramkarz,BRK,Turcja,-,Nabytki,50 tys. €,Besiktas JK U17,,,-
3269,Besiktas JK,1.liga,Turcja,Ahmet Gülay,17,Lewy obrońca,LOB,Turcja,-,Nabytki,300 tys. €,Besiktas JK U19,ieżowa,Turcja,-
3270,Besiktas JK,1.liga,Turcja,Atamer Bilgin,19,Prawy obrońca,POB,Turcja,-,Nabytki,75 tys. €,Besiktas JK U19,ieżowa,Turcja,-
3271,Besiktas JK,1.liga,Turcja,Cyle Larin,25,Lewy napastnik,LNP,Kanada,koniec wypżyczenia30 cze 2020,Nabytki,"11,50 mln €",SV Zulte Waregem,1.liga,Belgia,koniec wypżyczenia30 cze 2020
3272,Besiktas JK,1.liga,Turcja,Sedat Sahintürk,24,Lewy napastnik,LNP,Turcja,koniec wypżyczenia3 sie 2020,Nabytki,700 tys. €,Denizlispor,2.liga,Turcja,koniec wypżyczenia3 sie 2020
3273,Besiktas JK,1.liga,Turcja,Alpay Celebi,21,Środkowy obrońca,ŚOB,Turcja,koniec wypżyczenia6 lip 2020,Nabytki,50 tys. €,Kayserispor,1.liga,Turcja,koniec wypżyczenia6 lip 2020
3274,Besiktas JK,1.liga,Turcja,Nicolas Isimat-Mirin,28,Środkowy obrońca,ŚOB,Francja,koniec wypżyczenia30 cze 2020,Nabytki,400 tys. €,FC Toulouse,2.liga,Francja,koniec wypżyczenia30 cze 2020
3275,Besiktas JK,1.liga,Turcja,Muhayer Oktay,21,Środkowy pomocnik,ŚPM,Turcja,koniec wypżyczenia3 sie 2020,Nabytki,50 tys. €,Giresunspor,1.liga,Turcja,koniec wypżyczenia3 sie 2020
3276,Besiktas JK,1.liga,Turcja,Atamer Bilgin,20,Prawy obrońca,POB,Turcja,koniec wypżyczenia29 sty 2021,Nabytki,75 tys. €,Van Spor FK,3.liga,Turcja,koniec wypżyczenia29 sty 2021
3277,Besiktas JK,1.liga,Turcja,Ajdin Hasic,18,Prawy napastnik,PNP,Bośnia i Hercegowina,koniec wypżyczenia3 sie 2020,Nabytki,800 tys. €,Ümraniyespor,2.liga,Turcja,koniec wypżyczenia3 sie 2020
3278,Besiktas JK,1.liga,Turcja,Fatih Aksoy,22,Defensywny pomocnik,DPM,Turcja,koniec wypżyczenia3 sie 2020,Nabytki,"3,00 mln €",Sivasspor,1.liga,Turcja,koniec wypżyczenia3 sie 2020
3279,Besiktas JK,1.liga,Turcja,Oguzhan Özyakup,27,Środkowy pomocnik,ŚPM,Turcja,koniec wypżyczenia30 cze 2020,Nabytki,"1,70 mln €",Feyenoord Rotterdam,1.liga,Holandia,koniec wypżyczenia30 cze 2020
3280,Besiktas JK,1.liga,Turcja,Caner Erkin,31,Lewy obrońca,LOB,Turcja,bez odstępnego,Odejścia,"1,20 mln €",Fenerbahce SK,1.liga,Turcja,bez odstępnego
3281,Besiktas JK,1.liga,Turcja,Burak Yilmaz,35,Środkowy napastnik,ŚNP,Turcja,bez odstępnego,Odejścia,"2,80 mln €",LOSC Lille,1.liga,Francja,bez odstępnego
3282,Besiktas JK,1.liga,Turcja,Sedat Sahintürk,24,Lewy napastnik,LNP,Turcja,bez odstępnego,Odejścia,700 tys. €,Adana Demirspor,1.liga,Turcja,bez odstępnego
3283,Besiktas JK,1.liga,Turcja,Víctor Ruiz,31,Środkowy obrońca,ŚOB,Hiszpania,bez odstępnego,Odejścia,"2,20 mln €",Real Betis Balompié,1.liga,Hiszpania,bez odstępnego
3284,Besiktas JK,1.liga,Turcja,Enzo Roco,28,Środkowy obrońca,ŚOB,Chile,bez odstępnego,Odejścia,"1,50 mln €",Fatih Karagümrük,1.liga,Turcja,bez odstępnego
3285,Besiktas JK,1.liga,Turcja,Gökhan Gönül,35,Prawy obrońca,POB,Turcja,bez odstępnego,Odejścia,225 tys. €,Fenerbahce SK,1.liga,Turcja,bez odstępnego
3286,Besiktas JK,1.liga,Turcja,Nicolas Isimat-Mirin,29,Środkowy obrońca,ŚOB,Francja,bez odstępnego,Odejścia,400 tys. €,Sporting Kansas City,1.liga,Stany Zjednaczone,bez odstępnego
3287,Besiktas JK,1.liga,Turcja,Atamer Bilgin,20,Prawy obrońca,POB,Turcja,wypożyczenie,Odejścia,75 tys. €,Boluspor,2.liga,Turcja,wypożyczenie
3288,Besiktas JK,1.liga,Turcja,Tyler Boyd,26,Prawy napastnik,PNP,Stany Zjednaczone,wypożyczenie,Odejścia,"1,50 mln €",Sivasspor,1.liga,Turcja,wypożyczenie
3289,Besiktas JK,1.liga,Turcja,Mertcan Acikgöz,20,Prawy napastnik,PNP,Turcja,wypożyczenie,Odejścia,50 tys. €,Eyüpspor,2.liga,Turcja,wypożyczenie
3290,Besiktas JK,1.liga,Turcja,Atamer Bilgin,19,Prawy obrońca,POB,Turcja,wypożyczenie,Odejścia,75 tys. €,Van Spor FK,3.liga,Turcja,wypożyczenie
3291,Besiktas JK,1.liga,Turcja,Abdullah Aydin,19,Lewy napastnik,LNP,Turcja,wypożyczenie,Odejścia,50 tys. €,Altay SK,1.liga,Turcja,wypożyczenie
3292,Besiktas JK,1.liga,Turcja,Erdogan Kaya,19,Środkowy obrońca,ŚOB,Turcja,wypożyczenie,Odejścia,150 tys. €,Turgutluspor,3.liga,Turcja,wypożyczenie
3293,Besiktas JK,1.liga,Turcja,Jeremain Lens,33,Prawy napastnik,PNP,Holandia,wypożyczenie,Odejścia,275 tys. €,Fatih Karagümrük,1.liga,Turcja,wypożyczenie
3294,Besiktas JK,1.liga,Turcja,Alpay Celebi,21,Środkowy obrońca,ŚOB,Turcja,wypożyczenie,Odejścia,50 tys. €,Alanyaspor,1.liga,Turcja,wypożyczenie
3295,Besiktas JK,1.liga,Turcja,Kerem Kalafat,19,Prawy obrońca,POB,Turcja,wypożyczenie,Odejścia,550 tys. €,Giresunspor,1.liga,Turcja,wypożyczenie
3296,Besiktas JK,1.liga,Turcja,Atakan Üner,21,Prawy napastnik,PNP,Turcja,wypożyczenie,Odejścia,650 tys. €,Ümraniyespor,2.liga,Turcja,wypożyczenie
3297,Besiktas JK,1.liga,Turcja,Kartal Yilmaz,20,Defensywny pomocnik,DPM,Turcja,wypożyczenie,Odejścia,300 tys. €,Ümraniyespor,2.liga,Turcja,wypożyczenie
3298,Besiktas JK,1.liga,Turcja,Ahmet Gülay,17,Lewy obrońca,LOB,Turcja,wypożyczenie,Odejścia,300 tys. €,Alanyaspor,1.liga,Turcja,wypożyczenie
3299,Besiktas JK,1.liga,Turcja,Fatih Aksoy,22,Defensywny pomocnik,DPM,Turcja,?,Odejścia,"3,00 mln €",Alanyaspor,1.liga,Turcja,?
3300,Besiktas JK,1.liga,Turcja,Güven Yalcin,22,Środkowy napastnik,ŚNP,Turcja,wypożyczenie,Odejścia,"2,80 mln €",US Lecce,2.liga,Włochy,wypożyczenie
3301,Besiktas JK,1.liga,Turcja,Umut Nayir,27,Środkowy napastnik,ŚNP,Turcja,wypożyczenie,Odejścia,650 tys. €,HNK Hajduk Split,1.liga,Chorwacja,wypożyczenie
3302,Besiktas JK,1.liga,Turcja,Pedro Rebocho,25,Lewy obrońca,LOB,Portugalia,koniec wypżyczenia18 cze 2020,Odejścia,"1,50 mln €",EA Guingamp,2.liga,Francja,koniec wypżyczenia18 cze 2020
3303,Besiktas JK,1.liga,Turcja,Mohamed Elneny,28,Defensywny pomocnik,DPM,Egipt,koniec wypżyczenia3 sie 2020,Odejścia,"10,00 mln €",FC Arsenal,1.liga,Anglia,koniec wypżyczenia3 sie 2020
3304,Besiktas JK,1.liga,Turcja,Abdoulay Diaby,29,Prawy napastnik,PNP,Mali,koniec wypżyczenia3 sie 2020,Odejścia,"1,50 mln €",Sporting CP,1.liga,Portugalia,koniec wypżyczenia3 sie 2020
3305,Besiktas JK,1.liga,Turcja,Kevin-Prince Boateng,33,Ofensywny pomocnik,OPM,Ghana,koniec wypżyczenia3 sie 2020,Odejścia,"2,00 mln €",AC Fiorentina,1.liga,Włochy,koniec wypżyczenia3 sie 2020
3306,Sivasspor,1.liga,Turcja,Ahmet Oguz,27,Prawy obrońca,POB,Turcja,bez odstępnego,Nabytki,"1,00 mln €",Kasimpasa,1.liga,Turcja,bez odstępnego
3307,Sivasspor,1.liga,Turcja,Emre Satilmis,24,Bramkarz,BRK,Turcja,bez odstępnego,Nabytki,75 tys. €,Sancaktepe FK,4.liga,Turcja,bez odstępnego
3308,Sivasspor,1.liga,Turcja,Max Gradel,32,Lewy napastnik,LNP,Wybrzeże Kości Słoniowej,bez odstępnego,Nabytki,"3,20 mln €",FC Toulouse,2.liga,Francja,bez odstępnego
3309,Sivasspor,1.liga,Turcja,Jorge Félix,28,Środkowy napastnik,ŚNP,Hiszpania,bez odstępnego,Nabytki,800 tys. €,Piast Gliwice,1.liga,Polska,bez odstępnego
3310,Sivasspor,1.liga,Turcja,Kerem Atakan Kesgin,19,Środkowy pomocnik,ŚPM,Turcja,bez odstępnego,Nabytki,125 tys. €,Göztepe,1.liga,Turcja,bez odstępnego
3311,Sivasspor,1.liga,Turcja,Robin Yalcin,26,Środkowy obrońca,ŚOB,Niemcy,bez odstępnego,Nabytki,900 tys. €,Yeni Malatyaspor,1.liga,Turcja,bez odstępnego
3312,Sivasspor,1.liga,Turcja,Tyler Boyd,26,Prawy napastnik,PNP,Stany Zjednaczone,wypożyczenie,Nabytki,"1,50 mln €",Besiktas JK,1.liga,Turcja,wypożyczenie
3313,Sivasspor,1.liga,Turcja,Alaaddin Okumus,25,Prawy obrońca,POB,Turcja,?,Nabytki,175 tys. €,Ümraniyespor,2.liga,Turcja,?
3314,Sivasspor,1.liga,Turcja,Fayçal Fajr,32,Środkowy pomocnik,ŚPM,Maroko,?,Nabytki,"1,80 mln €",Getafe CF,1.liga,Hiszpania,?
3315,Sivasspor,1.liga,Turcja,Casimir Ninga,27,Lewy napastnik,LNP,Chad,wypożyczenie,Nabytki,"1,30 mln €",SCO Angers,1.liga,Francja,wypożyczenie
3316,Sivasspor,1.liga,Turcja,Olarenwaju Kayode,27,Środkowy napastnik,ŚNP,Nigeria,wypożyczenie,Nabytki,"3,50 mln €",Szachtar Donieck,1.liga,Ukraina,wypożyczenie
3317,Sivasspor,1.liga,Turcja,Özkan Yigiter,20,Środkowy obrońca,ŚOB,Turcja,-,Nabytki,75 tys. €,Sivasspor U19,ieżowa,Turcja,-
3318,Sivasspor,1.liga,Turcja,Eren Sahin,19,Prawy napastnik,PNP,Turcja,-,Nabytki,75 tys. €,Sivasspor U19,ieżowa,Turcja,-
3319,Sivasspor,1.liga,Turcja,Volkan Egri,22,Lewy napastnik,LNP,Turcja,koniec wypżyczenia30 cze 2020,Nabytki,75 tys. €,NK Celik Zenica,,,koniec wypżyczenia30 cze 2020
3320,Sivasspor,1.liga,Turcja,Emre Satilmis,24,Bramkarz,BRK,Turcja,koniec wypżyczenia27 maj 2021,Nabytki,75 tys. €,Hekimoglu Trabzon,3.liga,Turcja,koniec wypżyczenia27 maj 2021
3321,Sivasspor,1.liga,Turcja,Abdou Traoré,31,Ofensywny pomocnik,OPM,Burkina Faso,koniec wypżyczenia3 sie 2020,Nabytki,350 tys. €,Bursaspor,2.liga,Turcja,koniec wypżyczenia3 sie 2020
3322,Sivasspor,1.liga,Turcja,Emre Kilinc,25,Prawy napastnik,PNP,Turcja,bez odstępnego,Odejścia,"4,60 mln €",Galatasaray A.S.,1.liga,Turcja,bez odstępnego
3323,Sivasspor,1.liga,Turcja,Abdou Traoré,31,Ofensywny pomocnik,OPM,Burkina Faso,bez odstępnego,Odejścia,350 tys. €,Giresunspor,1.liga,Turcja,bez odstępnego
3324,Sivasspor,1.liga,Turcja,Yasin Öztekin,33,Lewy napastnik,LNP,Turcja,bez odstępnego,Odejścia,350 tys. €,Samsunspor,2.liga,Turcja,bez odstępnego
3325,Sivasspor,1.liga,Turcja,Paul Papp,30,Środkowy obrońca,ŚOB,Rumunia,bez odstępnego,Odejścia,400 tys. €,Universitatea Craiova,1.liga,Rumunia,bez odstępnego
3326,Sivasspor,1.liga,Turcja,Mert Hakan Yandas,25,Środkowy pomocnik,ŚPM,Turcja,bez odstępnego,Odejścia,"2,10 mln €",Fenerbahce SK,1.liga,Turcja,bez odstępnego
3327,Sivasspor,1.liga,Turcja,Cem Özdemir,28,Środkowy pomocnik,ŚPM,Turcja,bez odstępnego,Odejścia,50 tys. €,Van Spor FK,3.liga,Turcja,bez odstępnego
3328,Sivasspor,1.liga,Turcja,Baris Yardimci,28,Prawy obrońca,POB,Turcja,bez odstępnego,Odejścia,225 tys. €,Konyaspor,1.liga,Turcja,bez odstępnego
3329,Sivasspor,1.liga,Turcja,Furkan Sagman,20,Defensywny pomocnik,DPM,Turcja,wypożyczenie,Odejścia,150 tys. €,Sivas Belediye Spor,3.liga,Turcja,wypożyczenie
3330,Sivasspor,1.liga,Turcja,Armin Djerlek,20,Ofensywny pomocnik,OPM,Serbia,wypożyczenie,Odejścia,300 tys. €,NK Aluminij Kidricevo,1.liga,Słowenia,wypożyczenie
3331,Sivasspor,1.liga,Turcja,Özkan Yigiter,20,Środkowy obrońca,ŚOB,Turcja,wypożyczenie,Odejścia,75 tys. €,Kirikkale Büyük Anadolu Spor,4.liga,Turcja,wypożyczenie
3332,Sivasspor,1.liga,Turcja,Emre Satilmis,24,Bramkarz,BRK,Turcja,wypożyczenie,Odejścia,75 tys. €,Hekimoglu Trabzon,3.liga,Turcja,wypożyczenie
3333,Sivasspor,1.liga,Turcja,Eren Sahin,19,Prawy napastnik,PNP,Turcja,wypożyczenie,Odejścia,75 tys. €,Sivas Belediye Spor,3.liga,Turcja,wypożyczenie
3334,Sivasspor,1.liga,Turcja,Volkan Egri,22,Lewy napastnik,LNP,Turcja,wypożyczenie,Odejścia,75 tys. €,Sivas Belediye Spor,3.liga,Turcja,wypożyczenie
3335,Sivasspor,1.liga,Turcja,Marcelo Goiano,33,Prawy obrońca,POB,Brazylia,-,Odejścia,400 tys. €,Bez klubuBez klubu,,,-
3336,Sivasspor,1.liga,Turcja,Petar Skuletic,30,Środkowy napastnik,ŚNP,Serbia,koniec wypżyczenia3 sie 2020,Odejścia,500 tys. €,Montpellier HSC,1.liga,Francja,koniec wypżyczenia3 sie 2020
3337,Sivasspor,1.liga,Turcja,Fernando Andrade,27,Cofnięty napastnik,CNP,Brazylia,koniec wypżyczenia3 sie 2020,Odejścia,"1,60 mln €",FC Porto,1.liga,Portugalia,koniec wypżyczenia3 sie 2020
3338,Sivasspor,1.liga,Turcja,Fatih Aksoy,22,Defensywny pomocnik,DPM,Turcja,koniec wypżyczenia3 sie 2020,Odejścia,"3,00 mln €",Besiktas JK,1.liga,Turcja,koniec wypżyczenia3 sie 2020
3339,Alanyaspor,1.liga,Turcja,Davidson,29,Lewy napastnik,LNP,Brazylia,500 tys. €,Nabytki,"3,80 mln €",Vitoria Guimarães SC,1.liga,Portugalia,500 tys. €
3340,Alanyaspor,1.liga,Turcja,Damian Kadzior,28,Prawy napastnik,PNP,Polska,opłata za wypożyczenie:150 tys. €,Nabytki,"1,30 mln €",SD Eibar,2.liga,Hiszpania,opłata za wypożyczenie:150 tys. €
3341,Alanyaspor,1.liga,Turcja,Furkan Bayir,20,Środkowy obrońca,ŚOB,Turcja,115 tys. €,Nabytki,275 tys. €,Menemenspor,2.liga,Turcja,115 tys. €
3342,Alanyaspor,1.liga,Turcja,Efkan Bekiroglu,24,Środkowy pomocnik,ŚPM,Turcja,bez odstępnego,Nabytki,450 tys. €,TSV 1860 München,3.liga,Niemcy,bez odstępnego
3343,Alanyaspor,1.liga,Turcja,Berkan Kutlu,22,Środkowy pomocnik,ŚPM,Turcja,bez odstępnego,Nabytki,"5,00 mln €",FC Sion,1.liga,Szwajcaria,bez odstępnego
3344,Alanyaspor,1.liga,Turcja,Hasan Acar,26,Środkowy pomocnik,ŚPM,Turcja,bez odstępnego,Nabytki,450 tys. €,Kayserispor,1.liga,Turcja,bez odstępnego
3345,Alanyaspor,1.liga,Turcja,Serkan Kirintili,35,Bramkarz,BRK,Turcja,bez odstępnego,Nabytki,150 tys. €,Konyaspor,1.liga,Turcja,bez odstępnego
3346,Alanyaspor,1.liga,Turcja,Alpay Celebi,21,Środkowy obrońca,ŚOB,Turcja,wypożyczenie,Nabytki,50 tys. €,Besiktas JK,1.liga,Turcja,wypożyczenie
3347,Alanyaspor,1.liga,Turcja,Ahmet Gülay,17,Lewy obrońca,LOB,Turcja,wypożyczenie,Nabytki,300 tys. €,Besiktas JK,1.liga,Turcja,wypożyczenie
3348,Alanyaspor,1.liga,Turcja,El Mami Tetah,19,Lewy napastnik,LNP,Mauretania,?,Nabytki,50 tys. €,ACS Ksar Nouakchott,,,?
3349,Alanyaspor,1.liga,Turcja,Fatih Aksoy,22,Defensywny pomocnik,DPM,Turcja,?,Nabytki,"3,00 mln €",Besiktas JK,1.liga,Turcja,?
3350,Alanyaspor,1.liga,Turcja,François Moubandje,30,Lewy obrońca,LOB,Szwajcaria,wypożyczenie,Nabytki,"1,70 mln €",GNK Dinamo Zagrzeb,1.liga,Chorwacja,wypożyczenie
3351,Alanyaspor,1.liga,Turcja,Adam Bareiro,24,Środkowy napastnik,ŚNP,Paragwaj,wypożyczenie,Nabytki,"2,50 mln €",CF Monterrey,1.liga,Meksyk,wypożyczenie
3352,Alanyaspor,1.liga,Turcja,Cagri Güney,17,Bramkarz,BRK,Turcja,wypożyczenie,Nabytki,50 tys. €,Bursaspor,2.liga,Turcja,wypożyczenie
3353,Alanyaspor,1.liga,Turcja,Khouma Babacar,27,Środkowy napastnik,ŚNP,Senegal,wypożyczenie,Nabytki,"4,00 mln €",US Sassuolo,1.liga,Włochy,wypożyczenie
3354,Alanyaspor,1.liga,Turcja,Ufuk Ceylan,34,Bramkarz,BRK,Turcja,-,Nabytki,75 tys. €,Bez klubuBez klubu,,,-
3355,Alanyaspor,1.liga,Turcja,Hamza Özdemir,19,Środkowy obrońca,ŚOB,Turcja,-,Nabytki,100 tys. €,Alanyaspor U19,ieżowa,Turcja,-
3356,Alanyaspor,1.liga,Turcja,Erdinc Mergen,20,Środkowy napastnik,ŚNP,Turcja,-,Nabytki,50 tys. €,Alanyaspor U19,ieżowa,Turcja,-
3357,Alanyaspor,1.liga,Turcja,Hasan Emiroglu,23,Środkowy obrońca,ŚOB,Turcja,koniec wypżyczenia3 sie 2020,Nabytki,-,Kizilcabölükspor,4.liga,Turcja,koniec wypżyczenia3 sie 2020
3358,Alanyaspor,1.liga,Turcja,Hasan Emiroglu,23,Środkowy obrońca,ŚOB,Turcja,koniec wypżyczenia31 sty 2021,Nabytki,-,Antalya Kemerspor,,,koniec wypżyczenia31 sty 2021
3359,Alanyaspor,1.liga,Turcja,Rauf Öktem,23,Środkowy pomocnik,ŚPM,Turcja,koniec wypżyczenia3 sie 2020,Nabytki,-,Serik Belediyespor,3.liga,Turcja,koniec wypżyczenia3 sie 2020
3360,Alanyaspor,1.liga,Turcja,Isaac Sackey,26,Defensywny pomocnik,DPM,Ghana,koniec wypżyczenia3 sie 2020,Nabytki,900 tys. €,Denizlispor,2.liga,Turcja,koniec wypżyczenia3 sie 2020
3361,Alanyaspor,1.liga,Turcja,Hasan Ayaroglu,25,Lewy napastnik,LNP,Turcja,koniec wypżyczenia3 sie 2020,Nabytki,200 tys. €,Büyüksehir Belediye Erzurumspor,2.liga,Turcja,koniec wypżyczenia3 sie 2020
3362,Alanyaspor,1.liga,Turcja,Hasan Can Yalcintekin,22,Środkowy pomocnik,ŚPM,Turcja,koniec wypżyczenia3 sie 2020,Nabytki,-,Payasspor,,,koniec wypżyczenia3 sie 2020
3363,Alanyaspor,1.liga,Turcja,Yusuf Karagöz,20,Bramkarz,BRK,Turcja,koniec wypżyczenia3 sie 2020,Nabytki,50 tys. €,Batman Petrolspor,4.liga,Turcja,koniec wypżyczenia3 sie 2020
3364,Alanyaspor,1.liga,Turcja,Alper Tursun,27,Prawy obrońca,POB,Turcja,koniec wypżyczenia3 sie 2020,Nabytki,125 tys. €,Sakaryaspor,3.liga,Turcja,koniec wypżyczenia3 sie 2020
3365,Alanyaspor,1.liga,Turcja,Emre Bekir,21,Lewy obrońca,LOB,Turcja,koniec wypżyczenia3 sie 2020,Nabytki,175 tys. €,Fethiyespor,4.liga,Turcja,koniec wypżyczenia3 sie 2020
3366,Alanyaspor,1.liga,Turcja,Veysel Ünal,19,Prawy napastnik,PNP,Turcja,koniec wypżyczenia17 sie 2020,Nabytki,125 tys. €,Giresunspor,1.liga,Turcja,koniec wypżyczenia17 sie 2020
3367,Alanyaspor,1.liga,Turcja,Tayfur Bingöl,27,Prawy obrońca,POB,Turcja,koniec wypżyczenia3 sie 2020,Nabytki,850 tys. €,Bursaspor,2.liga,Turcja,koniec wypżyczenia3 sie 2020
3368,Alanyaspor,1.liga,Turcja,Haydar Yilmaz,36,Bramkarz,BRK,Turcja,koniec wypżyczenia3 sie 2020,Nabytki,75 tys. €,Gaziantep FK,1.liga,Turcja,koniec wypżyczenia3 sie 2020
3369,Alanyaspor,1.liga,Turcja,Murat Sevimler,22,Lewy napastnik,LNP,Turcja,koniec wypżyczenia3 sie 2020,Nabytki,50 tys. €,Payasspor,,,koniec wypżyczenia3 sie 2020
3370,Alanyaspor,1.liga,Turcja,Siddik Celik,21,Prawy obrońca,POB,Turcja,koniec wypżyczenia3 sie 2020,Nabytki,50 tys. €,Malatya Yesilyurt Belediyespor,4.liga,Turcja,koniec wypżyczenia3 sie 2020
3371,Alanyaspor,1.liga,Turcja,Reso Akin,23,Prawy obrońca,POB,Turcja,koniec wypżyczenia3 sie 2020,Nabytki,25 tys. €,Diyarbekir Spor,3.liga,Turcja,koniec wypżyczenia3 sie 2020
3372,Alanyaspor,1.liga,Turcja,Veysel Ünal,19,Prawy napastnik,PNP,Turcja,koniec wypżyczenia29 sty 2021,Nabytki,125 tys. €,Afjet Afyonspor,3.liga,Turcja,koniec wypżyczenia29 sty 2021
3373,Alanyaspor,1.liga,Turcja,Hasan Can Yalcintekin,23,Środkowy pomocnik,ŚPM,Turcja,koniec wypżyczenia28 sty 2021,Nabytki,-,Antalya Kemerspor,,,koniec wypżyczenia28 sty 2021
3374,Alanyaspor,1.liga,Turcja,Anastasios Bakasetas,27,Ofensywny pomocnik,OPM,Grecja,"3,00 mln €",Odejścia,"10,00 mln €",Trabzonspor,1.liga,Turcja,"3,00 mln €"
3375,Alanyaspor,1.liga,Turcja,Alper Tursun,27,Prawy obrońca,POB,Turcja,bez odstępnego,Odejścia,125 tys. €,Nigde Anadolu FK,3.liga,Turcja,bez odstępnego
3376,Alanyaspor,1.liga,Turcja,Lokman Gör,29,Środkowy obrońca,ŚOB,Turcja,bez odstępnego,Odejścia,225 tys. €,Altay SK,1.liga,Turcja,bez odstępnego
3377,Alanyaspor,1.liga,Turcja,Reso Akin,23,Prawy obrońca,POB,Turcja,bez odstępnego,Odejścia,25 tys. €,Tuzlaspor,2.liga,Turcja,bez odstępnego
3378,Alanyaspor,1.liga,Turcja,Eray Birnican,32,Bramkarz,BRK,Turcja,bez odstępnego,Odejścia,50 tys. €,Konyaspor,1.liga,Turcja,bez odstępnego
3379,Alanyaspor,1.liga,Turcja,Kaan Kanak,29,Lewy obrońca,LOB,Turcja,bez odstępnego,Odejścia,200 tys. €,Büyüksehir Belediye Erzurumspor,2.liga,Turcja,bez odstępnego
3380,Alanyaspor,1.liga,Turcja,Cenk Gönen,32,Bramkarz,BRK,Turcja,bez odstępnego,Odejścia,100 tys. €,Denizlispor,2.liga,Turcja,bez odstępnego
3381,Alanyaspor,1.liga,Turcja,Baiano,33,Prawy obrońca,POB,Brazylia,bez odstępnego,Odejścia,100 tys. €,Grêmio Esportivo Anápolis (GO),,,bez odstępnego
3382,Alanyaspor,1.liga,Turcja,Djalma,33,Prawy napastnik,PNP,Angola,bez odstępnego,Odejścia,100 tys. €,SC Faręse,2.liga,Portugalia,bez odstępnego
3383,Alanyaspor,1.liga,Turcja,Fabrice N'Sakala,30,Lewy obrońca,LOB,Demokratyczna Republika Kongo,bez odstępnego,Odejścia,"1,00 mln €",Besiktas JK,1.liga,Turcja,bez odstępnego
3384,Alanyaspor,1.liga,Turcja,Papiss Demba Cissé,35,Środkowy napastnik,ŚNP,Senegal,bez odstępnego,Odejścia,450 tys. €,Fenerbahce SK,1.liga,Turcja,bez odstępnego
3385,Alanyaspor,1.liga,Turcja,Junior Fernandes,32,Lewy napastnik,LNP,Chile,bez odstępnego,Odejścia,"1,10 mln €",Al Ittihad Kalba Sports Club,1.liga,Zjednaczone Emiraty Arabskie,bez odstępnego
3386,Alanyaspor,1.liga,Turcja,Haydar Yilmaz,36,Bramkarz,BRK,Turcja,bez odstępnego,Odejścia,75 tys. €,Tuzlaspor,2.liga,Turcja,bez odstępnego
3387,Alanyaspor,1.liga,Turcja,Isaac Sackey,26,Defensywny pomocnik,DPM,Ghana,bez odstępnego,Odejścia,900 tys. €,Hatayspor,1.liga,Turcja,bez odstępnego
3388,Alanyaspor,1.liga,Turcja,Hasan Ayaroglu,25,Lewy napastnik,LNP,Turcja,bez odstępnego,Odejścia,200 tys. €,Denizlispor,2.liga,Turcja,bez odstępnego
